Category Name,Sub Category,Description
Plumbing,Pipes & Tubes (PVC, Copper, Metal),All types of water pipes and tubes
Plumbing,Faucets & Taps (Kitchen, Bathroom, Outdoor),Taps and faucets for various uses
Plumbing,Water Heaters & Tanks,Hot water systems and storage tanks
Plumbing,Toilets & Bidets,Toilet fixtures and bidets
Electricity,Wiring & Cables (Copper, Aluminum),Electrical wires and cables
Electricity,Circuit Breakers & Panels,Safety devices and electrical panels
Electricity,Light Fixtures & Lamps,Indoor and outdoor lighting
Electricity,Switches & Outlets,Electrical switches and power outlets
Construction,Concrete & Cement,Concrete mix and cement powder
Construction,Bricks & Blocks (Clay, Concrete),Building bricks and concrete blocks
Construction,Lumber & Wood (Planks, Beams, Studs),Wood materials for construction
Construction,Steel & Metal Framing,Metal framing and steel structures
Painting,Paint (Latex, Acrylic, Oil-based),Various types of paint
Painting,Primers & Sealers,Primer and sealant products
Painting,Brushes & Rollers,Painting tools and equipment
Painting,Sandpaper & Surface Prep,Surface preparation materials
Tools,Hand Tools (Hammers, Wrenches, Screwdrivers),Basic hand tools
Tools,Power Tools (Drills, Saws, Grinders),Electric and battery powered tools
Tools,Measuring & Leveling Tools,Measurement and leveling equipment
Tools,Ladders & Scaffolding,Access equipment
Hardware,Nails (Finishing, Common, Roofing),Various types of nails
Hardware,Screws (Wood, Machine, Stainless),Different screw types
Hardware,Bolts, Nuts & Washers,Fasteners and hardware
Hardware,Hinges & Brackets,Mounting hardware
Doors & Windows,Entry Doors (Steel, Wood, Fiberglass),Front and main entry doors
Doors & Windows,Interior Doors,Internal room doors
Doors & Windows,Windows (Wood, Vinyl, Aluminum),Window frames and panes
Doors & Windows,Door Frames & Hardware,Door installation materials
Roofing,Roofing Shingles (Asphalt, Metal, Tile),Roofing shingles for sloped roofs
Roofing,Gutters & Downspouts,Gutter systems and drainage
Roofing,Flashing & Trim,Roofing trim and flashing
Roofing,Roof Membranes & Underlayment,Waterproofing materials
Flooring,Ceramic & Porcelain Tiles,Tile flooring products
Flooring,Natural Stone Tiles (Marble, Granite, Slate),Stone flooring materials
Flooring,Wood Flooring (Hardwood, Engineered),Wood floor options
Flooring,Laminate Flooring,Laminate floor products
Sanitation & Bathroom,Toilets & Bidets,Toilet fixtures
Sanitation & Bathroom,Sinks & Basins (Pedestal, Wall, Corner),Various sink types
Sanitation & Bathroom,Bathtubs & Whirlpools,Bath fixtures
Sanitation & Bathroom,Shower Enclosures & Screens,Shower systems
Ventilation & HVAC,Exhaust Fans & Ductwork,Ventilation systems
Ventilation & HVAC,Air Conditioning Units,Cooling systems
Ventilation & HVAC,Heating Systems,Heating equipment
Ventilation & HVAC,Thermostats & Controls,HVAC controls
Safety Equipment,Hard Hats & Head Protection,Head safety gear
Safety Equipment,Gloves (Work, Safety, Protective),Hand protection
Safety Equipment,Eye Protection (Goggles, Glasses),Eye safety gear
Safety Equipment,Hearing Protection,Ear protection equipment
Adhesives & Sealants,Wood Glues & Adhesives,Woodworking adhesives
Adhesives & Sealants,Construction Adhesives,Heavy duty adhesives
Adhesives & Sealants,Caulk & Sealants (Silicone, Acrylic),Caulking materials
Adhesives & Sealants,Grout & Mortar,Grouting materials
Landscaping & Outdoor,Stones & Gravel,Stone and gravel materials
Landscaping & Outdoor,Soil & Mulch,Soil and mulch products
Landscaping & Outdoor,Plants & Seeds,Vegetation materials
Landscaping & Outdoor,Fencing Materials (Wood, Metal, Vinyl),Fence building materials
